T;alpha
744.799;0.139496354879397
744.899;0.139648295778283
744.999;0.139793418816323
745.099;0.139939515834482
745.199;0.14009340469361
745.299;0.140240475691891
745.399;0.14039436455102
745.499;0.140548253410147
745.599;0.140703116249397
745.699;0.140857979088646
745.799;0.141017711828502
745.899;0.141179392528599
745.999;0.141342047208816
746.099;0.141495936067945
746.199;0.141658590748163
746.299;0.141821245428381
746.399;0.141982926128477
746.499;0.142152398669544
746.599;0.14232284519073
746.699;0.142494265692037
746.799;0.142664712213224
746.899;0.142842950575378
746.999;0.143014371076686
747.099;0.143184817597873
747.199;0.143361107999785
747.299;0.143533502481214
747.399;0.143696157161433
747.499;0.143865629702498
747.599;0.144037050203805
747.699;0.144207496724991
747.799;0.144382813146784
747.899;0.14456202548906
747.999;0.144743185791577
748.099;0.144926294054338
748.199;0.145105506396614
748.299;0.14528374475877
748.399;0.145462957101045
748.499;0.145641195463201
748.599;0.145828199646446
748.699;0.14601520382969
748.799;0.146193442191845
748.899;0.146370706573878
748.999;0.146557710757123
749.099;0.146744714940367
749.199;0.146927823203128
749.299;0.147114827386374
749.399;0.147299883609375
749.499;0.14747812197153
749.599;0.147661230234291
749.699;0.147844338497051
749.799;0.148022576859206
749.899;0.148197893280998
749.999;0.148367365822063
750.099;0.148539760303492
750.199;0.148717998665647
750.299;0.148898184988045
750.399;0.149084215191168
750.499;0.149265375493686
750.599;0.149446535796205
750.699;0.149625748138481
750.799;0.149803986500636
750.899;0.149973459041701
750.999;0.150143905562888
751.099;0.150314352084074
751.199;0.150484798605261
751.299;0.150655245126447
751.399;0.150825691647634
751.499;0.150995164188699
751.599;0.151161714789402
751.699;0.151333135290708
751.799;0.151504555792016
751.899;0.151682794154171
751.999;0.151858110575963
752.099;0.15203732291824
752.199;0.15221166535991
752.299;0.152382111881097
752.399;0.152560350243252
752.499;0.152738588605407
752.599;0.152914879007319
752.699;0.153085325528505
752.799;0.153263563890662
752.899;0.153441802252817
752.999;0.153623936535455
753.099;0.15380217489761
753.199;0.153985283160371
753.299;0.154166443462888
753.399;0.154336889984075
753.499;0.15451415436611
753.599;0.154693366708386
753.699;0.154869657110298
753.799;0.155040103631485
753.899;0.155213472093034
753.999;0.155390736475069
754.099;0.155561182996256
754.199;0.155730655537321
754.299;0.155898180118143
754.399;0.15606862663933
754.499;0.156247838981606
754.599;0.156429973264245
754.699;0.156608211626401
754.799;0.156787423968676
754.899;0.156959818450106
754.999;0.157130264971292
755.099;0.157300711492479
755.199;0.157471158013665
755.299;0.157647448415578
755.399;0.15782276483737
755.499;0.157992237378435
755.599;0.15817047574059
755.699;0.158348714102745
755.799;0.158529874405264
755.899;0.158708112767418
755.999;0.158899012871147
756.099;0.159087965014634
756.199;0.159274969197879
756.299;0.15946781726185
756.399;0.159662613286063
756.499;0.159848643489186
756.599;0.160040517573036
756.699;0.16023531359725
756.799;0.160438875442552
756.899;0.160648281168581
756.999;0.160851843013884
757.099;0.161054430879066
757.199;0.161248252923157
757.299;0.161448892828097
757.399;0.161643688852311
757.499;0.16184432875725
757.599;0.162047890602553
757.699;0.162259244288825
